im_ind,hit,fa,corrected_hit
1,0.564705882352941,0.19,0.374705882352941
2,0.422222222222222,0.05,0.372222222222222
3,0.794871794871795,0.0454545454545455,0.749417249417249
4,0.370786516853933,0.0606060606060606,0.310180456247872
5,0.535714285714286,0.180851063829787,0.354863221884498
6,0.811764705882353,0.114583333333333,0.69718137254902
7,0.657142857142857,0.0987654320987654,0.558377425044092
8,0.46875,0.0273972602739726,0.441352739726027
9,0.391891891891892,0.0864197530864197,0.305472138805472
10,0.605633802816901,0.10126582278481,0.504367980032091
11,0.787878787878788,0.106666666666667,0.681212121212121
12,0.506493506493506,0.126436781609195,0.380056724884311
13,0.536231884057971,0.0352941176470588,0.500937766410912
14,0.567164179104478,0.121951219512195,0.445212959592282
15,0.681818181818182,0.121212121212121,0.560606060606061
16,0.797619047619048,0.0549450549450549,0.742673992673993
17,0.653846153846154,0.0111111111111111,0.642735042735043
18,0.8,0.293478260869565,0.506521739130435
19,0.684931506849315,0.0449438202247191,0.639987686624596
20,0.621951219512195,0.241758241758242,0.380192977753953
21,0.541666666666667,0.1,0.441666666666667
22,0.712328767123288,0.0705882352941176,0.64174053182917
23,0.86046511627907,0.0319148936170213,0.828550222662048
24,0.592592592592593,0.09375,0.498842592592593
25,0.560606060606061,0.12987012987013,0.430735930735931
26,0.680412371134021,0.0740740740740741,0.606338297059947
27,0.76,0,0.76
28,0.549295774647887,0.0379746835443038,0.511321091103584
29,0.75,0.333333333333333,0.416666666666667
30,0.676470588235294,0.0379746835443038,0.63849590469099
31,0.688311688311688,0.149425287356322,0.538886400955366
32,0.555555555555556,0.134020618556701,0.421534936998855
33,0.688311688311688,0.0804597701149425,0.607851918196746
34,0.808988764044944,0.134615384615385,0.674373379429559
35,0.686046511627907,0.0196078431372549,0.666438668490652
36,0.294117647058824,0.0266666666666667,0.267450980392157
37,0.612903225806452,0.150684931506849,0.462218294299602
38,0.578313253012048,0.157303370786517,0.421009882225531
39,0.695652173913043,0.233009708737864,0.462642465175179
40,0.436619718309859,0.130952380952381,0.305667337357478
41,0.7125,0.113636363636364,0.598863636363636
42,0.78494623655914,0.233009708737864,0.551936527821276
43,0.464285714285714,0.0425531914893617,0.421732522796353
44,0.654761904761905,0.0638297872340425,0.590932117527862
45,0.689655172413793,0.0957446808510638,0.593910491562729
46,0.535714285714286,0.230769230769231,0.304945054945055
47,0.706666666666667,0.0117647058823529,0.694901960784314
48,0.776119402985075,0.115384615384615,0.660734787600459
49,0.541176470588235,0.0555555555555556,0.48562091503268
50,0.643835616438356,0.1125,0.531335616438356
51,0.728395061728395,0.195402298850575,0.53299276287782
52,0.4875,0.0365853658536585,0.450914634146341
53,0.50561797752809,0.0505050505050505,0.455112927023039
54,0.662337662337662,0.116279069767442,0.54605859257022
55,0.791666666666667,0.160493827160494,0.631172839506173
56,0.666666666666667,0.0375,0.629166666666667
57,0.7375,0.0352941176470588,0.702205882352941
58,0.655172413793103,0.123076923076923,0.53209549071618
59,0.584415584415584,0.0549450549450549,0.529470529470529
60,0.888888888888889,0.0941176470588235,0.794771241830065
61,0.777777777777778,0.0731707317073171,0.704607046070461
62,0.782051282051282,0.0543478260869565,0.727703455964326
63,0.506329113924051,0.0989010989010989,0.407428015022952
64,0.519480519480519,0.114942528735632,0.404537990744887
65,0.692307692307692,0.0149253731343284,0.677382319173364
66,0.532467532467532,0.0823529411764706,0.450114591291062
67,0.575,0.151162790697674,0.423837209302326
68,0.671875,0.352112676056338,0.319762323943662
69,0.582278481012658,0.0421052631578947,0.540173217854763
70,0.656716417910448,0.146666666666667,0.510049751243781
71,0.556962025316456,0.102272727272727,0.454689298043728
72,0.707865168539326,0.0869565217391304,0.620908646800195
73,0.555555555555556,0.0588235294117647,0.496732026143791
74,0.487179487179487,0.0229885057471264,0.464190981432361
75,0.621052631578947,0.194444444444444,0.426608187134503
76,0.792207792207792,0.0113636363636364,0.780844155844156
77,0.506024096385542,0.247311827956989,0.258712268428553
78,0.630952380952381,0.138297872340426,0.492654508611955
79,0.7625,0.0344827586206897,0.72801724137931
80,0.657534246575342,0.225,0.432534246575342
81,0.697368421052632,0.0963855421686747,0.600982878883957
82,0.579710144927536,0.0617283950617284,0.517981749865808
83,0.53448275862069,0.0422535211267606,0.492229237493929
84,0.514705882352941,0.0365853658536585,0.478120516499283
85,0.822784810126582,0.28735632183908,0.535428488287502
86,0.91358024691358,0.215909090909091,0.697671156004489
87,0.734177215189873,0.0326086956521739,0.701568519537699
88,0.728571428571429,0.024390243902439,0.704181184668989
89,0.426829268292683,0.0326086956521739,0.394220572640509
90,0.380281690140845,0.0740740740740741,0.306207616066771
91,0.707317073170732,0.153846153846154,0.553470919324578
92,0.689189189189189,0.114942528735632,0.574246660453557
93,0.795454545454545,0.157894736842105,0.63755980861244
94,0.571428571428571,0.0779220779220779,0.493506493506493
95,0.774647887323944,0.0365853658536585,0.738062521470285
96,0.702127659574468,0.263636363636364,0.438491295938104
97,0.571428571428571,0.193181818181818,0.378246753246753
98,0.735632183908046,0.168316831683168,0.567315352224878
99,0.814814814814815,0.197674418604651,0.617140396210164
100,0.868421052631579,0.0352941176470588,0.83312693498452
101,0.619047619047619,0.195876288659794,0.423171330387825
102,0.576470588235294,0.0736842105263158,0.502786377708978
103,0.64,0.0833333333333333,0.556666666666667
104,0.705128205128205,0.0449438202247191,0.660184384903486
105,0.837209302325581,0.284210526315789,0.552998776009792
106,0.833333333333333,0.191919191919192,0.641414141414141
107,0.525641025641026,0.0919540229885057,0.43368700265252
108,0.476190476190476,0.202702702702703,0.273487773487773
109,0.743243243243243,0.0705882352941176,0.672655007949126
110,0.5125,0.206521739130435,0.305978260869565
111,0.847457627118644,0.0972222222222222,0.750235404896422
112,0.627906976744186,0.112244897959184,0.515662078785002
113,0.857142857142857,0.115789473684211,0.741353383458647
114,0.64367816091954,0.0309278350515464,0.612750325867994
115,0.733333333333333,0.0392156862745098,0.694117647058824
116,0.468354430379747,0.0930232558139535,0.375331174565793
117,0.649350649350649,0.0574712643678161,0.591879384982833
118,0.659090909090909,0.087378640776699,0.57171226831421
119,0.554054054054054,0.0740740740740741,0.47997997997998
120,0.701298701298701,0.0116279069767442,0.689670794321957
121,0.671232876712329,0.0609756097560976,0.610257266956231
122,0.348484848484849,0.025,0.323484848484848
123,0.797979797979798,0.203703703703704,0.594276094276094
124,0.556962025316456,0.0705882352941176,0.486373790022338
125,0.63855421686747,0.0217391304347826,0.616815086432687
126,0.527027027027027,0.116279069767442,0.410747957259585
127,0.493975903614458,0.0666666666666667,0.427309236947791
128,0.72,0.123456790123457,0.596543209876543
129,0.550561797752809,0.099009900990099,0.45155189676271
130,0.649350649350649,0.0705882352941176,0.578762414056532
131,0.792207792207792,0.235955056179775,0.556252736028017
132,0.707692307692308,0.180555555555556,0.527136752136752
133,0.709677419354839,0.00970873786407767,0.699968681490761
134,0.485294117647059,0.130952380952381,0.354341736694678
135,0.833333333333333,0.0337078651685393,0.799625468164794
136,0.851351351351351,0.0602409638554217,0.79111038749593
137,0.625,0.175675675675676,0.449324324324324
138,0.594936708860759,0.141176470588235,0.453760238272524
139,0.654320987654321,0.0543478260869565,0.599973161567364
140,0.590361445783133,0.273684210526316,0.316677235256817
141,0.338235294117647,0.0135135135135135,0.324721780604134
142,0.6375,0.112359550561798,0.525140449438202
143,0.662921348314607,0.0918367346938776,0.571084613620729
144,0.692307692307692,0.112359550561798,0.579948141745894
145,0.640449438202247,0.0736842105263158,0.566765227675931
146,0.616438356164384,0.0909090909090909,0.525529265255293
147,0.522222222222222,0.0303030303030303,0.491919191919192
148,0.52,0.0227272727272727,0.497272727272727
149,0.608108108108108,0.0853658536585366,0.522742254449572
150,0.565789473684211,0.120481927710843,0.445307545973367
151,0.346153846153846,0.0340909090909091,0.312062937062937
152,0.881720430107527,0.116504854368932,0.765215575738595
153,0.55,0.0227272727272727,0.527272727272727
154,0.828125,0.0263157894736842,0.801809210526316
155,0.574468085106383,0.0283018867924528,0.54616619831393
156,0.6,0.108695652173913,0.491304347826087
157,0.595505617977528,0.141304347826087,0.454201270151441
158,0.534246575342466,0.0506329113924051,0.483613663950061
159,0.701298701298701,0.0795454545454545,0.621753246753247
160,0.698924731182796,0.148148148148148,0.550776583034648
161,0.433734939759036,0.0217391304347826,0.411995809324254
162,0.593406593406593,0.0707070707070707,0.522699522699523
163,0.782608695652174,0.0784313725490196,0.704177323103154
164,0.5,0.0588235294117647,0.441176470588235
165,0.786666666666667,0.0879120879120879,0.698754578754579
166,0.567567567567568,0.144578313253012,0.422989254314555
167,0.653846153846154,0.0813953488372093,0.572450805008945
168,0.616438356164384,0.0813953488372093,0.535043007327174
169,0.602409638554217,0.0537634408602151,0.548646197694002
170,0.630952380952381,0.104166666666667,0.526785714285714
171,0.784090909090909,0.08,0.704090909090909
172,0.608695652173913,0.24,0.368695652173913
173,0.573033707865168,0.180851063829787,0.392182644035381
174,0.528571428571429,0.108433734939759,0.42013769363167
175,0.608695652173913,0.125,0.483695652173913
176,0.604651162790698,0.043010752688172,0.561640410102526
177,0.506172839506173,0.0602409638554217,0.445931875650751
178,0.493975903614458,0.134020618556701,0.359955285057757
179,0.722222222222222,0.161616161616162,0.560606060606061
180,0.576470588235294,0.0515463917525773,0.524924196482717
181,0.622222222222222,0.11,0.512222222222222
182,0.542168674698795,0.191489361702128,0.350679312996667
183,0.576923076923077,0.0337078651685393,0.543215211754538
