sub,probe_hit,mem_score
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.438521208120152
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7518218623481785
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.636856368563685
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7501375894331315
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.370173985086993
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.637803067788224
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.528495034377387
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.7533333333333331
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.423159246575342
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.51330376940133
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.591620879120879
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.556944444444444
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.6939008480104375
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7231523761204126
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7487640449438202
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7950393224440415
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.236135957066189
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.20019262520638398
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.39993317741396595
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.6447876447876446
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.68659793814433
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.690109585240671
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.46877592131769097
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.8225428102275397
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.3453763440860219
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.417972831765935
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.570604781997187
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.734492842850546
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.7274560645347165
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.398252350059579
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7022357723577233
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.849315068493151
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.29831932773109204
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.4131037501824024
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.308682170542635
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.7863490934944901
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.304945054945055
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.27736549165120583
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.8343685300207037
a809a141-4862-4ef9-9206-d64dc894c78f,False,0.499728997289973
a809a141-4862-4ef9-9206-d64dc894c78f,True,0.5713869463869462
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.46433254655127204
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.4745454545454545
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.408764367816092
17a0b95a-caef-46b5-afdd-2ee194101fff,False,0.671330483223216
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.7774853801169591
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.4658079625292739
17a0b95a-caef-46b5-afdd-2ee194101fff,False,0.545217867909016
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.310177182368194
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.705426356589147
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.3453763440860219
17a0b95a-caef-46b5-afdd-2ee194101fff,False,0.5269207501512401
17a0b95a-caef-46b5-afdd-2ee194101fff,False,0.690109585240671
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.32321981424148594
17a0b95a-caef-46b5-afdd-2ee194101fff,False,0.6814035087719299
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.46889400921658997
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.460716530483972
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.5354938271604941
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.6218746296954615
17a0b95a-caef-46b5-afdd-2ee194101fff,True,0.7406301185085267
f8655bf3-bf42-497a-9702-1b335456b7de,False,0.31453634085213
f8655bf3-bf42-497a-9702-1b335456b7de,True,0.55520393811533
f8655bf3-bf42-497a-9702-1b335456b7de,False,0.49115646258503404
f8655bf3-bf42-497a-9702-1b335456b7de,True,0.5010084711577248
f8655bf3-bf42-497a-9702-1b335456b7de,False,0.617174959871589
fee306a7-c87d-4874-98a7-c3b90159186d,True,0.7132616487455199
fee306a7-c87d-4874-98a7-c3b90159186d,True,0.275539275539275
fee306a7-c87d-4874-98a7-c3b90159186d,False,0.6594957522608932
fee306a7-c87d-4874-98a7-c3b90159186d,True,0.380192977753953
