,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
32,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_2,,,,probe,0.015625,0.015625,0.0,50.0,Dist_Large_RE_Small,Large,Small
33,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_10,,,,probe,0.909,0.015625,3.488,167.0,Dist_Small_RE_Large,Small,Large
34,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_2,,,,probe,0.25,0.015625,1.479,50.0,Dist_Large_RE_Large,Large,Large
35,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_10,,,,probe,0.909,0.015625,3.488,167.0,Dist_Small_RE_Small,Small,Small
36,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_2,,,,probe,0.25,0.015625,1.479,50.0,Dist_Small_RE_Small,Small,Small
37,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_5,,,,probe,0.467,0.015625,2.071,84.0,Dist_Large_RE_Large,Large,Large
38,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_2,,,,probe,0.333,0.015625,1.722,50.0,Dist_Small_RE_Large,Small,Large
39,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_5,,,,probe,0.909,0.015625,3.488,84.0,Dist_Small_RE_Large,Small,Large
40,977b4b62-3cdc-477c-b88e-7a6b81efe90b,,0.025,0.025,0.0,image,,,,,,,
41,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_2,0.25,0.062,0.864,image,,,,50.0,Dist_Small_RE_Large,Small,Large
42,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_10,0.5,0.015625,2.154,image,,,,167.0,Dist_Small_RE_Small,Small,Small
43,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_5,0.562,0.188,1.041,image,,,,84.0,Dist_Large_RE_Small,Large,Small
44,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_5,0.312,0.015625,1.664,image,,,,84.0,Dist_Small_RE_Small,Small,Small
45,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_10,0.5,0.062,1.538,image,,,,167.0,Dist_Large_RE_Small,Large,Small
46,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_10,0.875,0.015625,3.304,image,,,,167.0,Dist_Large_RE_Large,Large,Large
47,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_5,0.688,0.015625,2.644,image,,,,84.0,Dist_Large_RE_Large,Large,Large
48,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_2,0.125,0.015625,1.004,image,,,,50.0,Dist_Large_RE_Small,Large,Small
49,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_10,0.688,0.188,1.375,image,,,,167.0,Dist_Small_RE_Large,Small,Large
50,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_2,0.125,0.015625,1.004,image,,,,50.0,Dist_Small_RE_Small,Small,Small
51,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_5,0.25,0.015625,1.479,image,,,,84.0,Dist_Small_RE_Large,Small,Large
52,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_2,0.25,0.015625,1.479,image,,,,50.0,Dist_Large_RE_Large,Large,Large
53,977b4b62-3cdc-477c-b88e-7a6b81efe90b,,,,,probe,0.025,0.025,0.0,,,,
54,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_2,,,,probe,0.5,0.15,1.036,50.0,Dist_Small_RE_Large,Small,Large
55,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_10,,,,probe,0.923,0.015625,3.579,167.0,Dist_Small_RE_Small,Small,Small
56,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_5,,,,probe,0.625,0.083,1.704,84.0,Dist_Large_RE_Small,Large,Small
57,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_5,,,,probe,0.917,0.015625,3.539,84.0,Dist_Small_RE_Small,Small,Small
58,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_10,,,,probe,0.667,0.015625,2.586,167.0,Dist_Large_RE_Small,Large,Small
59,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_10,,,,probe,0.923,0.015625,3.579,167.0,Dist_Large_RE_Large,Large,Large
60,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Large_5,,,,probe,0.615,0.015625,2.446,84.0,Dist_Large_RE_Large,Large,Large
61,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Large_RE_Small_2,,,,probe,0.2,0.015625,1.312,50.0,Dist_Large_RE_Small,Large,Small
62,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_10,,,,probe,0.984375,0.015625,4.308,167.0,Dist_Small_RE_Large,Small,Large
63,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Small_2,,,,probe,0.385,0.015625,1.861,50.0,Dist_Small_RE_Small,Small,Small
64,977b4b62-3cdc-477c-b88e-7a6b81efe90b,Dist_Small_RE_Large_5,,,,probe,0.786,0.015625,2.946,84.0,Dist_Small_RE_Large,Small,Large
